javax.swing.BorderFactory.createEmptyBorder() 10075
org.w3c.dom.Document.getElementsByTagName() 10025
java.io.BufferedWriter.newLine() 10015
java.util.Dictionary.put() 10015
java.util.ListIterator.next() 10000
java.awt.Composite 9984
java.text.NumberFormat.format() 9965
java.util.Calendar.getTimeInMillis() 9935
java.io.File.list() 9930
java.util.logging.Logger.severe() 9790
java.util.List.subList() 9750
java.util.Random.nextDouble() 9745
java.util.Calendar 9708
javax.swing.JToolBar.add() 9685
java.net.Socket.close() 9635
java.util.Enumeration 9606
java.security.MessageDigest.digest() 9565
java.io.File.canRead() 9555
java.sql.PreparedStatement 9545
java.lang.Math.cos() 9500
javax.swing.JPopupMenu.add() 9470
java.util.LinkedHashMap.get() 9445
java.io.OutputStreamWriter.write() 9370
java.net.URI 9357
java.util.concurrent.locks.Lock.unlock() 9335
java.lang.reflect.Method.getParameterTypes() 9325
java.awt.event.MouseEvent.getX() 9285
java.util.concurrent.atomic.AtomicBoolean.get() 9265
javax.swing.ButtonGroup.add() 9245
java.math.BigDecimal.valueOf() 9180
java.util.Vector.elements() 9155
java.util.HashMap.entrySet() 9025
java.sql.PreparedStatement.execute() 8920
java.io.DataInput.readInt() 8920
java.io.Reader.read() 8915
java.util.Collection.toArray() 8905
java.lang.Math.round() 8895
java.awt.event.MouseEvent.getY() 8820
java.sql.DriverManager.getConnection() 8810
javax.swing.JFrame.getContentPane() 8785
java.util.concurrent.locks.Lock.lock() 8720
javax.swing.KeyStroke.getKeyStroke() 8675
java.nio.charset.Charset.forName() 8635
org.w3c.dom.NodeList 8613
java.io.DataOutput.writeInt() 8550
java.util.regex.Matcher.start() 8530
java.util.zip.ZipEntry.getName() 8515
java.net.Socket.getOutputStream() 8500
java.io.ObjectOutputStream.close() 8385
java.util.ListIterator.hasNext() 8360
org.w3c.dom.Node.getFirstChild() 8360
java.lang.Integer.valueOf() 8360
javax.swing.JPanel 8320
java.lang.reflect.Type 8304
java.net.URL.getFile() 8270
java.util.TreeSet.add() 8225
java.util.concurrent.atomic.AtomicInteger.incrementAndGet() 8165
java.security.MessageDigest.getInstance() 8160
java.awt.Button 8138
java.awt.Graphics.drawString() 8060
java.lang.reflect.Field 8029
java.util.concurrent.atomic.AtomicBoolean.set() 8020
java.lang.Thread 8007
java.util.Comparator.compare() 7995
java.io.Writer.append() 7980
java.io.DataOutputStream.write() 7930
java.net.URL.getProtocol() 7920
java.io.DataOutputStream.writeByte() 7920
java.util.concurrent.ConcurrentHashMap.get() 7875
java.util.Random.nextFloat() 7870
java.util.LinkedList.get() 7790
java.util.Collections.singletonMap() 7785
java.net.URL.toExternalForm() 7775
java.util.Dictionary.get() 7745
java.util.HashMap.clear() 7710
java.net.InetAddress.getLocalHost() 7695
org.w3c.dom.NamedNodeMap.getNamedItem() 7690
java.util.TreeMap.get() 7680
java.lang.String.hashCode() 7660
java.io.File.renameTo() 7645
java.util.BitSet.get() 7645
javax.security.auth.login.Configuration 7640
java.lang.Boolean 7636
java.util.StringTokenizer.countTokens() 7635
java.util.Arrays.copyOf() 7625
java.awt.Graphics2D.drawImage() 7600
java.lang.String.split() 7520
java.lang.reflect.Field.getType() 7520
java.util.Collections.emptySet() 7515
java.util.BitSet.set() 7490
java.io.Writer.close() 7480
java.util.regex.Matcher.end() 7475
java.net.URL.getPath() 7460
java.util.Collections.unmodifiableList() 7450
java.io.ByteArrayOutputStream.close() 7435
java.text.DateFormat.parse() 7435
java.util.concurrent.Future.get() 7430
java.lang.reflect.Method.getReturnType() 7420
java.io.FileSystem.delete() 7405
java.util.concurrent.ExecutorService.submit() 7400
java.awt.Graphics2D.setStroke() 7395
java.lang.String.contains() 7380
javax.xml.namespace.QName.getNamespaceURI() 7335
java.lang.Double 7311
